Product_ID,Product_Name,Warehouse_ID,Warehouse_Location,Average_Daily_Demand,Demand_Std,Average_Lead_Time,Stock_Available,Safety_Stock,Reorder_Point,Recommended_Order,Stock_Status
P001,Laptop,WH01,Delhi,19.25,3.9112040353534776,4.53,30,14.0,101.0,71,REORDER
P001,Laptop,WH02,Mumbai,18.54,3.835600871090987,4.54,31,13.0,98.0,67,REORDER
P001,Laptop,WH03,Bangalore,17.24,3.4072008282495645,4.45,36,12.0,89.0,53,REORDER
P002,Smartphone,WH01,Delhi,29.84,5.9200496292801645,4.44,56,21.0,153.0,97,REORDER
P002,Smartphone,WH02,Mumbai,28.53,5.815682047257525,4.37,55,20.0,145.0,90,REORDER
P002,Smartphone,WH03,Bangalore,26.82,5.763140838815027,4.56,45,20.0,142.0,97,REORDER
P003,Headphones,WH01,Delhi,48.4,9.714778836077146,4.54,91,34.0,254.0,163,REORDER
P003,Headphones,WH02,Mumbai,45.36,8.910192041463953,4.45,82,31.0,233.0,151,REORDER
P003,Headphones,WH03,Bangalore,43.59,9.147902393950542,4.51,80,32.0,229.0,149,REORDER
P004,Office Chair,WH01,Delhi,14.97,3.115901066794557,4.57,18,11.0,79.0,61,REORDER
P004,Office Chair,WH02,Mumbai,14.18,2.8552850272780965,4.4,34,10.0,72.0,38,REORDER
P004,Office Chair,WH03,Bangalore,13.58,2.8420849600514515,4.51,18,10.0,71.0,53,REORDER
P005,Desk,WH01,Delhi,12.81,2.7093692523867823,4.55,14,10.0,68.0,54,REORDER
P005,Desk,WH02,Mumbai,12.26,2.565880997178456,4.42,25,9.0,63.0,38,REORDER
P005,Desk,WH03,Bangalore,11.63,2.435270751908908,4.45,20,8.0,60.0,40,REORDER
P006,Printer,WH01,Delhi,17.13,3.4444439742758344,4.58,32,12.0,91.0,59,REORDER
P006,Printer,WH02,Mumbai,16.32,3.1981093209627702,4.5,24,11.0,85.0,61,REORDER
P006,Printer,WH03,Bangalore,15.11,3.0816174967364365,4.52,33,11.0,79.0,46,REORDER
P007,Notebook,WH01,Delhi,79.66,16.394904626153036,4.49,166,57.0,415.0,249,REORDER
P007,Notebook,WH02,Mumbai,75.95,15.415297476397162,4.5,155,54.0,396.0,241,REORDER
P007,Notebook,WH03,Bangalore,73.08,14.683078577292378,4.46,107,51.0,377.0,270,REORDER
P008,Backpack,WH01,Delhi,37.17,7.675341740150848,4.51,45,27.0,194.0,149,REORDER
P008,Backpack,WH02,Mumbai,35.42,6.866658285401291,4.52,73,24.0,184.0,111,REORDER
P008,Backpack,WH03,Bangalore,33.97,7.078179164161441,4.51,75,25.0,178.0,103,REORDER
