Date,Product_ID,Product_Name,Category,Warehouse_ID,Warehouse_Location,Units_Sold,Stock_Available,Price,Promotion,Lead_Time_Days
2024-01-01,P001,Laptop,Electronics,WH01,Delhi,16,24,55000,0,4
2024-01-01,P001,Laptop,Electronics,WH02,Mumbai,19,32,55000,0,4
2024-01-01,P001,Laptop,Electronics,WH03,Bangalore,16,24,55000,0,5
2024-01-01,P002,Smartphone,Electronics,WH01,Delhi,28,37,30000,0,2
2024-01-01,P002,Smartphone,Electronics,WH02,Mumbai,25,41,30000,0,7
2024-01-01,P002,Smartphone,Electronics,WH03,Bangalore,28,57,30000,0,5
2024-01-01,P003,Headphones,Electronics,WH01,Delhi,44,89,2500,0,6
2024-01-01,P003,Headphones,Electronics,WH02,Mumbai,46,61,2500,0,2
2024-01-01,P003,Headphones,Electronics,WH03,Bangalore,50,71,2500,1,5
2024-01-01,P004,Office Chair,Furniture,WH01,Delhi,16,34,8500,0,5
2024-01-01,P004,Office Chair,Furniture,WH02,Mumbai,15,25,8500,0,7
2024-01-01,P004,Office Chair,Furniture,WH03,Bangalore,11,22,8500,0,6
2024-01-01,P005,Desk,Furniture,WH01,Delhi,16,38,12000,1,7
2024-01-01,P005,Desk,Furniture,WH02,Mumbai,13,18,12000,0,6
2024-01-01,P005,Desk,Furniture,WH03,Bangalore,12,21,12000,0,5
2024-01-01,P006,Printer,Office Supplies,WH01,Delhi,16,26,15000,0,6
2024-01-01,P006,Printer,Office Supplies,WH02,Mumbai,15,20,15000,0,4
2024-01-01,P006,Printer,Office Supplies,WH03,Bangalore,16,34,15000,0,4
2024-01-01,P007,Notebook,Office Supplies,WH01,Delhi,77,111,120,0,2
2024-01-01,P007,Notebook,Office Supplies,WH02,Mumbai,69,117,120,0,7
2024-01-01,P007,Notebook,Office Supplies,WH03,Bangalore,78,184,120,0,2
2024-01-01,P008,Backpack,Accessories,WH01,Delhi,43,106,1800,0,4
2024-01-01,P008,Backpack,Accessories,WH02,Mumbai,41,78,1800,0,2
2024-01-01,P008,Backpack,Accessories,WH03,Bangalore,35,50,1800,0,5
2024-01-02,P001,Laptop,Electronics,WH01,Delhi,19,32,55000,0,5
2024-01-02,P001,Laptop,Electronics,WH02,Mumbai,22,35,55000,1,6
2024-01-02,P001,Laptop,Electronics,WH03,Bangalore,20,47,55000,0,3
2024-01-02,P002,Smartphone,Electronics,WH01,Delhi,32,66,30000,0,7
2024-01-02,P002,Smartphone,Electronics,WH02,Mumbai,27,64,30000,0,3
2024-01-02,P002,Smartphone,Electronics,WH03,Bangalore,22,38,30000,0,7
2024-01-02,P003,Headphones,Electronics,WH01,Delhi,45,103,2500,0,2
2024-01-02,P003,Headphones,Electronics,WH02,Mumbai,37,55,2500,0,4
2024-01-02,P003,Headphones,Electronics,WH03,Bangalore,41,70,2500,0,4
2024-01-02,P004,Office Chair,Furniture,WH01,Delhi,14,27,8500,0,2
2024-01-02,P004,Office Chair,Furniture,WH02,Mumbai,14,22,8500,0,3
2024-01-02,P004,Office Chair,Furniture,WH03,Bangalore,13,19,8500,0,2
2024-01-02,P005,Desk,Furniture,WH01,Delhi,13,17,12000,0,2
2024-01-02,P005,Desk,Furniture,WH02,Mumbai,12,25,12000,0,6
2024-01-02,P005,Desk,Furniture,WH03,Bangalore,13,21,12000,0,7
2024-01-02,P006,Printer,Office Supplies,WH01,Delhi,18,37,15000,0,7
2024-01-02,P006,Printer,Office Supplies,WH02,Mumbai,17,25,15000,0,4
2024-01-02,P006,Printer,Office Supplies,WH03,Bangalore,16,22,15000,0,5
2024-01-02,P007,Notebook,Office Supplies,WH01,Delhi,86,195,120,0,5
2024-01-02,P007,Notebook,Office Supplies,WH02,Mumbai,66,100,120,0,2
2024-01-02,P007,Notebook,Office Supplies,WH03,Bangalore,82,173,120,0,2
2024-01-02,P008,Backpack,Accessories,WH01,Delhi,37,89,1800,0,7
2024-01-02,P008,Backpack,Accessories,WH02,Mumbai,32,79,1800,0,5
2024-01-02,P008,Backpack,Accessories,WH03,Bangalore,31,49,1800,0,7
2024-01-03,P001,Laptop,Electronics,WH01,Delhi,24,41,55000,1,4
2024-01-03,P001,Laptop,Electronics,WH02,Mumbai,20,46,55000,0,5
2024-01-03,P001,Laptop,Electronics,WH03,Bangalore,23,32,55000,1,5
2024-01-03,P002,Smartphone,Electronics,WH01,Delhi,42,85,30000,1,4
2024-01-03,P002,Smartphone,Electronics,WH02,Mumbai,25,47,30000,0,4
2024-01-03,P002,Smartphone,Electronics,WH03,Bangalore,23,36,30000,0,2
2024-01-03,P003,Headphones,Electronics,WH01,Delhi,40,70,2500,0,4
2024-01-03,P003,Headphones,Electronics,WH02,Mumbai,45,89,2500,0,5
2024-01-03,P003,Headphones,Electronics,WH03,Bangalore,36,72,2500,0,7
2024-01-03,P004,Office Chair,Furniture,WH01,Delhi,16,38,8500,0,4
2024-01-03,P004,Office Chair,Furniture,WH02,Mumbai,16,34,8500,0,2
2024-01-03,P004,Office Chair,Furniture,WH03,Bangalore,11,24,8500,0,4
2024-01-03,P005,Desk,Furniture,WH01,Delhi,13,21,12000,0,7
2024-01-03,P005,Desk,Furniture,WH02,Mumbai,12,16,12000,0,6
2024-01-03,P005,Desk,Furniture,WH03,Bangalore,11,19,12000,0,2
2024-01-03,P006,Printer,Office Supplies,WH01,Delhi,18,27,15000,0,2
2024-01-03,P006,Printer,Office Supplies,WH02,Mumbai,14,22,15000,0,3
2024-01-03,P006,Printer,Office Supplies,WH03,Bangalore,22,48,15000,1,2
2024-01-03,P007,Notebook,Office Supplies,WH01,Delhi,83,137,120,0,3
2024-01-03,P007,Notebook,Office Supplies,WH02,Mumbai,91,213,120,0,6
2024-01-03,P007,Notebook,Office Supplies,WH03,Bangalore,66,156,120,0,5
2024-01-03,P008,Backpack,Accessories,WH01,Delhi,36,66,1800,0,7
2024-01-03,P008,Backpack,Accessories,WH02,Mumbai,36,58,1800,0,3
2024-01-03,P008,Backpack,Accessories,WH03,Bangalore,42,73,1800,1,5
2024-01-04,P001,Laptop,Electronics,WH01,Delhi,18,44,55000,0,5
2024-01-04,P001,Laptop,Electronics,WH02,Mumbai,25,38,55000,1,7
2024-01-04,P001,Laptop,Electronics,WH03,Bangalore,20,49,55000,0,5
2024-01-04,P002,Smartphone,Electronics,WH01,Delhi,32,43,30000,0,4
2024-01-04,P002,Smartphone,Electronics,WH02,Mumbai,25,38,30000,0,2
2024-01-04,P002,Smartphone,Electronics,WH03,Bangalore,32,51,30000,0,7
2024-01-04,P003,Headphones,Electronics,WH01,Delhi,40,98,2500,0,6
2024-01-04,P003,Headphones,Electronics,WH02,Mumbai,50,90,2500,0,5
2024-01-04,P003,Headphones,Electronics,WH03,Bangalore,39,55,2500,0,7
2024-01-04,P004,Office Chair,Furniture,WH01,Delhi,18,39,8500,1,5
2024-01-04,P004,Office Chair,Furniture,WH02,Mumbai,15,26,8500,0,7
2024-01-04,P004,Office Chair,Furniture,WH03,Bangalore,14,25,8500,0,3
2024-01-04,P005,Desk,Furniture,WH01,Delhi,15,20,12000,1,4
2024-01-04,P005,Desk,Furniture,WH02,Mumbai,13,30,12000,0,6
2024-01-04,P005,Desk,Furniture,WH03,Bangalore,12,29,12000,0,5
2024-01-04,P006,Printer,Office Supplies,WH01,Delhi,17,41,15000,0,5
2024-01-04,P006,Printer,Office Supplies,WH02,Mumbai,15,29,15000,0,6
2024-01-04,P006,Printer,Office Supplies,WH03,Bangalore,19,43,15000,0,3
2024-01-04,P007,Notebook,Office Supplies,WH01,Delhi,70,123,120,0,6
2024-01-04,P007,Notebook,Office Supplies,WH02,Mumbai,69,146,120,0,2
2024-01-04,P007,Notebook,Office Supplies,WH03,Bangalore,85,145,120,0,4
2024-01-04,P008,Backpack,Accessories,WH01,Delhi,32,46,1800,0,6
2024-01-04,P008,Backpack,Accessories,WH02,Mumbai,37,72,1800,0,6
2024-01-04,P008,Backpack,Accessories,WH03,Bangalore,33,75,1800,0,2
2024-01-05,P001,Laptop,Electronics,WH01,Delhi,18,36,55000,0,7
2024-01-05,P001,Laptop,Electronics,WH02,Mumbai,17,27,55000,0,6
2024-01-05,P001,Laptop,Electronics,WH03,Bangalore,16,31,55000,0,5
2024-01-05,P002,Smartphone,Electronics,WH01,Delhi,31,52,30000,1,4
2024-01-05,P002,Smartphone,Electronics,WH02,Mumbai,27,66,30000,0,5
2024-01-05,P002,Smartphone,Electronics,WH03,Bangalore,30,62,30000,0,6
2024-01-05,P003,Headphones,Electronics,WH01,Delhi,54,84,2500,0,6
2024-01-05,P003,Headphones,Electronics,WH02,Mumbai,57,128,2500,0,6
2024-01-05,P003,Headphones,Electronics,WH03,Bangalore,65,160,2500,1,2
2024-01-05,P004,Office Chair,Furniture,WH01,Delhi,15,31,8500,0,6
2024-01-05,P004,Office Chair,Furniture,WH02,Mumbai,14,25,8500,1,4
2024-01-05,P004,Office Chair,Furniture,WH03,Bangalore,13,18,8500,0,6
2024-01-05,P005,Desk,Furniture,WH01,Delhi,14,33,12000,0,2
2024-01-05,P005,Desk,Furniture,WH02,Mumbai,15,37,12000,1,5
2024-01-05,P005,Desk,Furniture,WH03,Bangalore,11,19,12000,0,4
2024-01-05,P006,Printer,Office Supplies,WH01,Delhi,21,36,15000,0,7
2024-01-05,P006,Printer,Office Supplies,WH02,Mumbai,16,22,15000,0,5
2024-01-05,P006,Printer,Office Supplies,WH03,Bangalore,15,34,15000,0,2
2024-01-05,P007,Notebook,Office Supplies,WH01,Delhi,74,139,120,0,2
2024-01-05,P007,Notebook,Office Supplies,WH02,Mumbai,78,122,120,1,7
2024-01-05,P007,Notebook,Office Supplies,WH03,Bangalore,72,121,120,0,7
2024-01-05,P008,Backpack,Accessories,WH01,Delhi,48,115,1800,1,5
2024-01-05,P008,Backpack,Accessories,WH02,Mumbai,35,72,1800,0,7
2024-01-05,P008,Backpack,Accessories,WH03,Bangalore,35,87,1800,0,7
2024-01-06,P001,Laptop,Electronics,WH01,Delhi,17,35,55000,0,3
2024-01-06,P001,Laptop,Electronics,WH02,Mumbai,18,33,55000,0,3
2024-01-06,P001,Laptop,Electronics,WH03,Bangalore,14,23,55000,0,4
2024-01-06,P002,Smartphone,Electronics,WH01,Delhi,22,43,30000,0,2
2024-01-06,P002,Smartphone,Electronics,WH02,Mumbai,21,31,30000,0,4
2024-01-06,P002,Smartphone,Electronics,WH03,Bangalore,32,78,30000,1,6
2024-01-06,P003,Headphones,Electronics,WH01,Delhi,46,108,2500,0,6
2024-01-06,P003,Headphones,Electronics,WH02,Mumbai,40,72,2500,0,7
2024-01-06,P003,Headphones,Electronics,WH03,Bangalore,31,76,2500,0,4
2024-01-06,P004,Office Chair,Furniture,WH01,Delhi,15,21,8500,0,2
2024-01-06,P004,Office Chair,Furniture,WH02,Mumbai,12,28,8500,0,2
2024-01-06,P004,Office Chair,Furniture,WH03,Bangalore,12,26,8500,0,4
2024-01-06,P005,Desk,Furniture,WH01,Delhi,11,20,12000,0,7
2024-01-06,P005,Desk,Furniture,WH02,Mumbai,12,20,12000,0,5
2024-01-06,P005,Desk,Furniture,WH03,Bangalore,12,21,12000,0,3
2024-01-06,P006,Printer,Office Supplies,WH01,Delhi,18,34,15000,0,4
2024-01-06,P006,Printer,Office Supplies,WH02,Mumbai,15,30,15000,0,7
2024-01-06,P006,Printer,Office Supplies,WH03,Bangalore,16,32,15000,0,6
2024-01-06,P007,Notebook,Office Supplies,WH01,Delhi,63,92,120,0,5
2024-01-06,P007,Notebook,Office Supplies,WH02,Mumbai,91,185,120,1,3
2024-01-06,P007,Notebook,Office Supplies,WH03,Bangalore,71,122,120,0,7
2024-01-06,P008,Backpack,Accessories,WH01,Delhi,33,79,1800,0,7
2024-01-06,P008,Backpack,Accessories,WH02,Mumbai,25,46,1800,0,3
2024-01-06,P008,Backpack,Accessories,WH03,Bangalore,30,52,1800,0,7
2024-01-07,P001,Laptop,Electronics,WH01,Delhi,17,25,55000,0,4
2024-01-07,P001,Laptop,Electronics,WH02,Mumbai,16,33,55000,0,5
2024-01-07,P001,Laptop,Electronics,WH03,Bangalore,15,32,55000,0,3
2024-01-07,P002,Smartphone,Electronics,WH01,Delhi,29,45,30000,0,6
2024-01-07,P002,Smartphone,Electronics,WH02,Mumbai,23,32,30000,0,2
2024-01-07,P002,Smartphone,Electronics,WH03,Bangalore,22,38,30000,0,7
2024-01-07,P003,Headphones,Electronics,WH01,Delhi,53,71,2500,0,2
2024-01-07,P003,Headphones,Electronics,WH02,Mumbai,41,87,2500,0,7
2024-01-07,P003,Headphones,Electronics,WH03,Bangalore,39,76,2500,0,7
2024-01-07,P004,Office Chair,Furniture,WH01,Delhi,13,29,8500,0,7
2024-01-07,P004,Office Chair,Furniture,WH02,Mumbai,14,33,8500,0,7
2024-01-07,P004,Office Chair,Furniture,WH03,Bangalore,11,15,8500,0,3
2024-01-07,P005,Desk,Furniture,WH01,Delhi,9,15,12000,0,6
2024-01-07,P005,Desk,Furniture,WH02,Mumbai,11,22,12000,0,2
2024-01-07,P005,Desk,Furniture,WH03,Bangalore,9,21,12000,0,5
2024-01-07,P006,Printer,Office Supplies,WH01,Delhi,14,24,15000,0,2
2024-01-07,P006,Printer,Office Supplies,WH02,Mumbai,15,30,15000,0,2
2024-01-07,P006,Printer,Office Supplies,WH03,Bangalore,12,21,15000,0,6
2024-01-07,P007,Notebook,Office Supplies,WH01,Delhi,79,136,120,0,6
2024-01-07,P007,Notebook,Office Supplies,WH02,Mumbai,83,201,120,0,6
2024-01-07,P007,Notebook,Office Supplies,WH03,Bangalore,61,91,120,0,4
2024-01-07,P008,Backpack,Accessories,WH01,Delhi,31,70,1800,0,2
2024-01-07,P008,Backpack,Accessories,WH02,Mumbai,22,55,1800,0,7
2024-01-07,P008,Backpack,Accessories,WH03,Bangalore,32,79,1800,0,5
2024-01-08,P001,Laptop,Electronics,WH01,Delhi,19,41,55000,0,7
2024-01-08,P001,Laptop,Electronics,WH02,Mumbai,24,47,55000,1,3
2024-01-08,P001,Laptop,Electronics,WH03,Bangalore,16,27,55000,0,4
2024-01-08,P002,Smartphone,Electronics,WH01,Delhi,31,68,30000,0,5
2024-01-08,P002,Smartphone,Electronics,WH02,Mumbai,23,46,30000,0,4
2024-01-08,P002,Smartphone,Electronics,WH03,Bangalore,36,61,30000,1,4
2024-01-08,P003,Headphones,Electronics,WH01,Delhi,42,58,2500,0,5
2024-01-08,P003,Headphones,Electronics,WH02,Mumbai,43,91,2500,0,5
2024-01-08,P003,Headphones,Electronics,WH03,Bangalore,48,97,2500,0,7
2024-01-08,P004,Office Chair,Furniture,WH01,Delhi,16,27,8500,0,2
2024-01-08,P004,Office Chair,Furniture,WH02,Mumbai,16,39,8500,1,4
2024-01-08,P004,Office Chair,Furniture,WH03,Bangalore,20,30,8500,1,4
2024-01-08,P005,Desk,Furniture,WH01,Delhi,17,37,12000,1,5
2024-01-08,P005,Desk,Furniture,WH02,Mumbai,13,19,12000,0,6
2024-01-08,P005,Desk,Furniture,WH03,Bangalore,12,20,12000,0,3
2024-01-08,P006,Printer,Office Supplies,WH01,Delhi,17,39,15000,0,7
2024-01-08,P006,Printer,Office Supplies,WH02,Mumbai,22,40,15000,1,2
2024-01-08,P006,Printer,Office Supplies,WH03,Bangalore,19,45,15000,0,3
2024-01-08,P007,Notebook,Office Supplies,WH01,Delhi,81,117,120,0,7
2024-01-08,P007,Notebook,Office Supplies,WH02,Mumbai,82,178,120,0,3
2024-01-08,P007,Notebook,Office Supplies,WH03,Bangalore,76,147,120,0,4
2024-01-08,P008,Backpack,Accessories,WH01,Delhi,42,62,1800,0,2
2024-01-08,P008,Backpack,Accessories,WH02,Mumbai,33,51,1800,0,3
2024-01-08,P008,Backpack,Accessories,WH03,Bangalore,35,82,1800,0,2
2024-01-09,P001,Laptop,Electronics,WH01,Delhi,14,26,55000,0,5
2024-01-09,P001,Laptop,Electronics,WH02,Mumbai,19,43,55000,0,6
2024-01-09,P001,Laptop,Electronics,WH03,Bangalore,20,26,55000,0,4
2024-01-09,P002,Smartphone,Electronics,WH01,Delhi,28,55,30000,0,4
2024-01-09,P002,Smartphone,Electronics,WH02,Mumbai,24,43,30000,0,3
2024-01-09,P002,Smartphone,Electronics,WH03,Bangalore,31,46,30000,1,6
2024-01-09,P003,Headphones,Electronics,WH01,Delhi,46,100,2500,0,4
2024-01-09,P003,Headphones,Electronics,WH02,Mumbai,53,105,2500,1,5
2024-01-09,P003,Headphones,Electronics,WH03,Bangalore,40,55,2500,0,4
2024-01-09,P004,Office Chair,Furniture,WH01,Delhi,17,41,8500,0,7
2024-01-09,P004,Office Chair,Furniture,WH02,Mumbai,17,25,8500,1,5
2024-01-09,P004,Office Chair,Furniture,WH03,Bangalore,13,31,8500,0,7
2024-01-09,P005,Desk,Furniture,WH01,Delhi,10,14,12000,0,2
2024-01-09,P005,Desk,Furniture,WH02,Mumbai,14,31,12000,0,3
2024-01-09,P005,Desk,Furniture,WH03,Bangalore,13,31,12000,0,3
2024-01-09,P006,Printer,Office Supplies,WH01,Delhi,12,23,15000,0,4
2024-01-09,P006,Printer,Office Supplies,WH02,Mumbai,16,24,15000,0,2
2024-01-09,P006,Printer,Office Supplies,WH03,Bangalore,12,22,15000,0,2
2024-01-09,P007,Notebook,Office Supplies,WH01,Delhi,96,126,120,0,6
2024-01-09,P007,Notebook,Office Supplies,WH02,Mumbai,85,210,120,0,2
2024-01-09,P007,Notebook,Office Supplies,WH03,Bangalore,64,160,120,0,2
2024-01-09,P008,Backpack,Accessories,WH01,Delhi,36,60,1800,0,7
2024-01-09,P008,Backpack,Accessories,WH02,Mumbai,36,56,1800,0,6
2024-01-09,P008,Backpack,Accessories,WH03,Bangalore,33,58,1800,0,4
2024-01-10,P001,Laptop,Electronics,WH01,Delhi,18,35,55000,0,5
2024-01-10,P001,Laptop,Electronics,WH02,Mumbai,21,40,55000,0,4
2024-01-10,P001,Laptop,Electronics,WH03,Bangalore,18,44,55000,0,3
2024-01-10,P002,Smartphone,Electronics,WH01,Delhi,29,60,30000,0,5
2024-01-10,P002,Smartphone,Electronics,WH02,Mumbai,27,53,30000,0,4
2024-01-10,P002,Smartphone,Electronics,WH03,Bangalore,30,63,30000,0,6
2024-01-10,P003,Headphones,Electronics,WH01,Delhi,52,123,2500,0,5
2024-01-10,P003,Headphones,Electronics,WH02,Mumbai,35,50,2500,0,7
2024-01-10,P003,Headphones,Electronics,WH03,Bangalore,34,48,2500,0,3
2024-01-10,P004,Office Chair,Furniture,WH01,Delhi,13,20,8500,0,4
2024-01-10,P004,Office Chair,Furniture,WH02,Mumbai,15,32,8500,0,2
2024-01-10,P004,Office Chair,Furniture,WH03,Bangalore,15,26,8500,0,3
2024-01-10,P005,Desk,Furniture,WH01,Delhi,15,34,12000,1,6
2024-01-10,P005,Desk,Furniture,WH02,Mumbai,12,24,12000,0,3
2024-01-10,P005,Desk,Furniture,WH03,Bangalore,14,28,12000,1,4
2024-01-10,P006,Printer,Office Supplies,WH01,Delhi,22,50,15000,1,2
2024-01-10,P006,Printer,Office Supplies,WH02,Mumbai,19,41,15000,0,2
2024-01-10,P006,Printer,Office Supplies,WH03,Bangalore,15,22,15000,0,4
2024-01-10,P007,Notebook,Office Supplies,WH01,Delhi,89,204,120,0,6
2024-01-10,P007,Notebook,Office Supplies,WH02,Mumbai,85,161,120,0,3
2024-01-10,P007,Notebook,Office Supplies,WH03,Bangalore,80,124,120,0,3
2024-01-10,P008,Backpack,Accessories,WH01,Delhi,39,63,1800,0,7
